agedays,param,sd.median
2243,HEADCM,
2244,HEADCM,
2245,HEADCM,
2246,HEADCM,
2247,HEADCM,
2248,HEADCM,
2249,HEADCM,
2250,HEADCM,
2251,HEADCM,
2252,HEADCM,
2253,HEADCM,
2254,HEADCM,
2255,HEADCM,
2256,HEADCM,
2257,HEADCM,
2258,HEADCM,
2259,HEADCM,
2260,HEADCM,
2261,HEADCM,
2262,HEADCM,
2263,HEADCM,
2264,HEADCM,
2265,HEADCM,
2266,HEADCM,
2267,HEADCM,
2268,HEADCM,
2269,HEADCM,
2270,HEADCM,
2271,HEADCM,
2272,HEADCM,
2273,HEADCM,
2274,HEADCM,
2275,HEADCM,
2276,HEADCM,
2277,HEADCM,
2278,HEADCM,
2279,HEADCM,
2280,HEADCM,
2281,HEADCM,
2282,HEADCM,
2283,HEADCM,
2284,HEADCM,
2285,HEADCM,
2286,HEADCM,
2287,HEADCM,
2288,HEADCM,
2289,HEADCM,
2290,HEADCM,
2291,HEADCM,
2292,HEADCM,
2293,HEADCM,
2294,HEADCM,
2295,HEADCM,
2296,HEADCM,
2297,HEADCM,
2298,HEADCM,
2299,HEADCM,
2300,HEADCM,
2301,HEADCM,
2302,HEADCM,
2303,HEADCM,
2304,HEADCM,
2305,HEADCM,
2306,HEADCM,
2307,HEADCM,
2308,HEADCM,
2309,HEADCM,
2310,HEADCM,
2311,HEADCM,
2312,HEADCM,
2313,HEADCM,
2557,HEADCM,
2558,HEADCM,
2559,HEADCM,
2560,HEADCM,
2561,HEADCM,
2562,HEADCM,
2563,HEADCM,
2564,HEADCM,
2565,HEADCM,
2566,HEADCM,
2567,HEADCM,
2568,HEADCM,
2569,HEADCM,
2570,HEADCM,
2571,HEADCM,
2572,HEADCM,
2573,HEADCM,
2574,HEADCM,
2575,HEADCM,
2576,HEADCM,
2577,HEADCM,
2578,HEADCM,
2579,HEADCM,
2580,HEADCM,
2581,HEADCM,
2582,HEADCM,
2583,HEADCM,
2584,HEADCM,
2585,HEADCM,
2586,HEADCM,
2587,HEADCM,
