agedays,sex,cdc_wt_l,cdc_wt_m,cdc_wt_s,cdc_ht_l,cdc_ht_m,cdc_ht_s,cdc_hc_l,cdc_hc_m,cdc_hc_s,cdc_wt_csd_pos,cdc_wt_csd_neg,cdc_ht_csd_pos,cdc_ht_csd_neg,cdc_hc_csd_pos,cdc_hc_csd_neg,cdc_bmi_l,cdc_bmi_m,cdc_bmi_s,cdc_bmi_csd_pos,cdc_bmi_csd_neg
32,0,1.2726737,4.4972572,.14031573,-.094447255,55.05518,.045645203,4.0938077,38.404781,.043319229,.60981941,.6595726,2.6432228,2.3918762,1.4780273,1.9484367,,,,,
32,1,1.2114254,4.217432,.13433695,-.3585335,53.825024,.04457042,-1.5381571,37.200603,.039904334,.55221438,.58515918,2.5520344,2.2608261,1.653183,1.3487778,,,,,
33,0,1.2570932,4.5258389,.1400125,-.12427323,55.179302,.045509785,4.0785899,38.468449,.04312383,.61357594,.66052175,2.6447086,2.3874302,1.4752789,1.9394817,,,,,
33,1,1.2032928,4.2418327,.13413422,-.33428955,53.93932,.044470619,-1.5423185,37.262062,.039752103,.55512691,.58687365,2.5484142,2.2631226,1.6491947,1.3461246,,,,,
34,0,1.2416105,4.5543261,.13971303,-.1534757,55.301849,.045378648,4.0631566,38.531273,.042932246,.61732316,.66147614,2.6462498,2.383194,1.4725933,1.930687,,,,,
34,1,1.195223,4.2661643,.13393353,-.31032479,54.052334,.044373978,-1.546308,37.32272,.039602991,.55802965,.5885824,2.5449619,2.2654667,1.6452789,1.3435287,,,,,
35,0,1.2262269,4.5827188,.13941726,-.18206771,55.422859,.045251645,4.0475144,38.593269,.042744383,.62106085,.66243577,2.6478481,2.3791561,1.4699688,1.9220486,,,,,
35,1,1.1872151,4.2904277,.13373485,-.28663686,54.164093,.044280387,-1.5501285,37.382599,.039456919,.56092238,.59028542,2.5416679,2.2678585,1.6414375,1.340992,,,,,
36,0,1.2109439,4.6110177,.13912514,-.21006225,55.542377,.045128629,4.0316696,38.654461,.042560145,.62478876,.66340065,2.6495018,2.3753128,1.4674053,1.9135647,,,,,
36,1,1.1792685,4.3146224,.13353816,-.26322338,54.274632,.04418974,-1.5537823,37.441715,.039313801,.56380534,.5919826,2.5385303,2.2702904,1.6376686,1.3385105,,,,,
37,0,1.1957626,4.6392231,.13883659,-.23747231,55.660446,.04500946,4.0156298,38.714863,.042379428,.62850714,.66437054,2.6512051,2.3716545,1.4648972,1.9052277,,,,,
37,1,1.1713824,4.3387494,.13334341,-.24008197,54.383991,.04410192,-1.5572723,37.500088,.039173562,.56667876,.5936743,2.5355415,2.2727661,1.6339684,1.3360844,,,,,
38,0,1.1806843,4.667335,.13855155,-.26431093,55.777111,.044893984,3.9994004,38.774494,.042202141,.6322155,.66534543,2.6529617,2.3681774,1.4624481,1.8970375,,,,,
38,1,1.1635561,4.3628082,.13315056,-.21721028,54.492195,.044016827,-1.560601,37.557732,.039036117,.56954241,.59536004,2.5326958,2.2752819,1.6303368,1.3337135,,,,,
39,0,1.1657104,4.6953545,.13826995,-.29059106,55.892414,.044782061,3.9829884,38.833374,.042028181,.63591361,.66632545,2.6547642,2.3648701,1.4600544,1.8889885,,,,,
39,1,1.1557888,4.3867993,.1329596,-.1946059,54.599285,.043934345,-1.5637708,37.614662,.038901389,.57239652,.59704018,2.5299892,2.2778358,1.6267719,1.3313923,,,,,
40,0,1.1508423,4.7232814,.13799174,-.31632575,56.006401,.044673543,3.9664006,38.891514,.041857451,.63960171,.66731024,2.6566124,2.3617287,1.457716,1.8810787,,,,,
40,1,1.1480798,4.4107227,.13277049,-.1722665,54.705292,.043854371,-1.5667845,37.670895,.038769294,.57524085,.59871459,2.5274143,2.2804241,1.62327,1.3291245,,,,,
